Team,Points,Goal_Diff,Win_Rate
Man City,86,51,0.7105263157894737
Man United,74,29,0.5526315789473685
Liverpool,69,26,0.5263157894736842
Chelsea,67,22,0.5
Leicester,66,18,0.5263157894736842
West Ham,65,15,0.5
Tottenham,62,23,0.47368421052631576
Arsenal,61,16,0.47368421052631576
Leeds,59,8,0.47368421052631576
Everton,59,-1,0.4473684210526316
Aston Villa,55,9,0.42105263157894735
Newcastle,45,-16,0.3157894736842105
Wolves,45,-16,0.3157894736842105
Crystal Palace,44,-25,0.3157894736842105
Southampton,43,-21,0.3157894736842105
Brighton,41,-6,0.23684210526315788
Burnley,39,-22,0.2631578947368421
Fulham,28,-26,0.13157894736842105
West Brom,26,-41,0.13157894736842105
Sheffield United,23,-43,0.18421052631578946
