Team,Points,Goal_Diff,Win_Rate
Chelsea,86,71,0.7105263157894737
Man United,85,58,0.7105263157894737
Arsenal,75,42,0.6052631578947368
Tottenham,70,26,0.5526315789473685
Man City,67,28,0.47368421052631576
Aston Villa,64,13,0.4473684210526316
Liverpool,63,26,0.47368421052631576
Everton,61,11,0.42105263157894735
Blackburn,50,-14,0.34210526315789475
Birmingham,50,-9,0.34210526315789475
Stoke,47,-14,0.2894736842105263
Fulham,46,-7,0.3157894736842105
Sunderland,44,-8,0.2894736842105263
Bolton,39,-25,0.2631578947368421
Wolves,38,-24,0.23684210526315788
Wigan,36,-42,0.23684210526315788
West Ham,35,-19,0.21052631578947367
Hull,30,-41,0.15789473684210525
Burnley,30,-40,0.21052631578947367
Portsmouth,28,-32,0.18421052631578946
