Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2018-10-27,Liverpool,Cardiff,4.0,1.0,H,83,73,10
2018-10-27,Southampton,Newcastle,0.0,0.0,D,77,76,1
2018-10-27,Brighton,Wolves,1.0,0.0,H,76,76,0
2018-10-27,Watford,Huddersfield,3.0,0.0,H,77,75,2
2018-10-27,Leicester,West Ham,1.0,1.0,D,78,78,0
2018-10-28,Burnley,Chelsea,0.0,4.0,A,78,83,-5
2018-10-28,Crystal Palace,Arsenal,2.0,2.0,D,77,82,-5
2018-10-28,Man United,Everton,2.0,1.0,H,83,79,4
2018-10-29,Tottenham,Man City,0.0,1.0,A,83,85,-2
2018-11-03,Bournemouth,Man United,1.0,2.0,A,76,83,-7
2018-11-03,Newcastle,Watford,1.0,0.0,H,76,77,-1
2018-11-03,Everton,Brighton,3.0,1.0,H,79,76,3
2018-11-03,Cardiff,Leicester,0.0,1.0,A,73,78,-5
2018-11-03,West Ham,Burnley,4.0,2.0,H,78,78,0
2018-11-03,Arsenal,Liverpool,1.0,1.0,D,82,83,-1
2018-11-03,Wolves,Tottenham,2.0,3.0,A,76,83,-7
2018-11-04,Man City,Southampton,6.0,1.0,H,85,77,8
2018-11-04,Chelsea,Crystal Palace,3.0,1.0,H,83,77,6
2018-11-05,Huddersfield,Fulham,1.0,0.0,H,75,76,-1
2018-11-10,Cardiff,Brighton,0.0,0.0,H,73,76,-3
2018-11-10,Newcastle,Bournemouth,0.0,0.0,H,76,76,0
2018-11-10,Leicester,Burnley,0.0,0.0,H,78,78,0
2018-11-10,Huddersfield,West Ham,0.0,0.0,H,75,78,-3
2018-11-10,Southampton,Watford,0.0,0.0,H,77,77,0
2018-11-10,Crystal Palace,Tottenham,0.0,0.0,A,77,83,-6
2018-11-11,Liverpool,Fulham,0.0,0.0,H,83,76,7
2018-11-11,Chelsea,Everton,0.0,0.0,H,83,79,4
2018-11-11,Man City,Man United,0.0,0.0,H,85,83,2
2018-11-11,Arsenal,Wolves,0.0,0.0,H,82,76,6
2018-11-24,Fulham,Southampton,0.0,0.0,H,76,77,-1
2018-11-24,Everton,Cardiff,0.0,0.0,H,79,73,6
2018-11-24,Man United,Crystal Palace,0.0,0.0,H,83,77,6
2018-11-24,West Ham,Man City,0.0,0.0,A,78,85,-7
2018-11-24,Brighton,Leicester,0.0,0.0,H,76,78,-2
2018-11-24,Watford,Liverpool,0.0,0.0,A,77,83,-6
2018-11-24,Tottenham,Chelsea,0.0,0.0,H,83,83,0
2018-11-25,Bournemouth,Arsenal,0.0,0.0,A,76,82,-6
2018-11-25,Wolves,Huddersfield,0.0,0.0,H,76,75,1
2018-11-26,Burnley,Newcastle,0.0,0.0,H,78,76,2
2018-11-30,Cardiff,Wolves,0.0,0.0,H,73,76,-3
2018-12-01,Man City,Bournemouth,0.0,0.0,H,85,76,9
2018-12-01,Newcastle,West Ham,0.0,0.0,H,76,78,-2
2018-12-01,Leicester,Watford,0.0,0.0,H,78,77,1
2018-12-01,Huddersfield,Brighton,0.0,0.0,H,75,76,-1
2018-12-01,Crystal Palace,Burnley,0.0,0.0,H,77,78,-1
2018-12-01,Southampton,Man United,0.0,0.0,A,77,83,-6
2018-12-02,Chelsea,Fulham,0.0,0.0,H,83,76,7
2018-12-02,Arsenal,Tottenham,0.0,0.0,H,82,83,-1
2018-12-02,Liverpool,Everton,0.0,0.0,H,83,79,4
2018-12-04,West Ham,Cardiff,0.0,0.0,H,78,73,5
2018-12-04,Brighton,Crystal Palace,0.0,0.0,H,76,77,-1
2018-12-04,Bournemouth,Huddersfield,0.0,0.0,H,76,75,1
2018-12-04,Watford,Man City,0.0,0.0,A,77,85,-8
2018-12-05,Wolves,Chelsea,0.0,0.0,A,76,83,-7
2018-12-05,Fulham,Leicester,0.0,0.0,A,76,78,-2
2018-12-05,Burnley,Liverpool,0.0,0.0,A,78,83,-5
2018-12-05,Everton,Newcastle,0.0,0.0,H,79,76,3
2018-12-05,Man United,Arsenal,0.0,0.0,H,83,82,1
2018-12-05,Tottenham,Southampton,0.0,0.0,H,83,77,6
2018-12-08,Bournemouth,Liverpool,0.0,0.0,A,76,83,-7
2018-12-08,Arsenal,Huddersfield,0.0,0.0,H,82,75,7
2018-12-08,Man United,Fulham,0.0,0.0,H,83,76,7
2018-12-08,Burnley,Brighton,0.0,0.0,H,78,76,2
2018-12-08,Cardiff,Southampton,0.0,0.0,H,73,77,-4
2018-12-08,West Ham,Crystal Palace,0.0,0.0,H,78,77,1
2018-12-08,Chelsea,Man City,0.0,0.0,H,83,85,-2
2018-12-08,Leicester,Tottenham,0.0,0.0,A,78,83,-5
2018-12-09,Newcastle,Wolves,0.0,0.0,H,76,76,0
2018-12-10,Everton,Watford,0.0,0.0,H,79,77,2
2018-12-15,Man City,Everton,0.0,0.0,H,85,79,6
2018-12-15,Wolves,Bournemouth,0.0,0.0,H,76,76,0
2018-12-15,Tottenham,Burnley,0.0,0.0,H,83,78,5
2018-12-15,Huddersfield,Newcastle,0.0,0.0,A,75,76,-1
2018-12-15,Crystal Palace,Leicester,0.0,0.0,A,77,78,-1
2018-12-15,Watford,Cardiff,0.0,0.0,H,77,73,4
2018-12-15,Fulham,West Ham,0.0,0.0,A,76,78,-2
2018-12-16,Southampton,Arsenal,0.0,0.0,A,77,82,-5
2018-12-16,Brighton,Chelsea,0.0,0.0,A,76,83,-7
2018-12-16,Liverpool,Man United,0.0,0.0,H,83,83,0
2018-12-21,Wolves,Liverpool,0.0,0.0,A,76,83,-7
2018-12-22,Arsenal,Burnley,0.0,0.0,H,82,78,4
2018-12-22,Man City,Crystal Palace,0.0,0.0,H,85,77,8
2018-12-22,Newcastle,Fulham,0.0,0.0,H,76,76,0
2018-12-22,Chelsea,Leicester,0.0,0.0,H,83,78,5
2018-12-22,Huddersfield,Southampton,0.0,0.0,H,75,77,-2
2018-12-22,West Ham,Watford,0.0,0.0,H,78,77,1
2018-12-22,Bournemouth,Brighton,0.0,0.0,H,76,76,0
2018-12-22,Cardiff,Man United,0.0,0.0,A,73,83,-10
2018-12-23,Everton,Tottenham,0.0,0.0,A,79,83,-4
2018-12-26,Fulham,Wolves,0.0,0.0,H,76,76,0
2018-12-26,Liverpool,Newcastle,0.0,0.0,H,83,76,7
2018-12-26,Tottenham,Bournemouth,0.0,0.0,H,83,76,7
2018-12-26,Man United,Huddersfield,0.0,0.0,H,83,75,8
2018-12-26,Leicester,Man City,0.0,0.0,A,78,85,-7
2018-12-26,Burnley,Everton,0.0,0.0,A,78,79,-1
2018-12-26,Crystal Palace,Cardiff,0.0,0.0,H,77,73,4
2018-12-26,Brighton,Arsenal,0.0,0.0,A,76,82,-6
2018-12-26,Watford,Chelsea,0.0,0.0,A,77,83,-6
2018-12-27,Southampton,West Ham,0.0,0.0,H,77,78,-1
2018-12-29,Leicester,Cardiff,0.0,0.0,H,78,73,5
2018-12-29,Brighton,Everton,0.0,0.0,A,76,79,-3
2018-12-29,Watford,Newcastle,0.0,0.0,H,77,76,1
2018-12-29,Fulham,Huddersfield,0.0,0.0,H,76,75,1
2018-12-29,Tottenham,Wolves,0.0,0.0,H,83,76,7
2018-12-29,Liverpool,Arsenal,0.0,0.0,H,83,82,1
2018-12-30,Crystal Palace,Chelsea,0.0,0.0,A,77,83,-6
2018-12-30,Burnley,West Ham,0.0,0.0,H,78,78,0
2018-12-30,Southampton,Man City,0.0,0.0,A,77,85,-8
2018-12-30,Man United,Bournemouth,0.0,0.0,H,83,76,7
2019-01-01,Everton,Leicester,0.0,0.0,H,79,78,1
2019-01-01,Arsenal,Fulham,0.0,0.0,H,82,76,6
2019-01-01,Cardiff,Tottenham,0.0,0.0,A,73,83,-10
2019-01-02,Wolves,Crystal Palace,0.0,0.0,H,76,77,-1
2019-01-02,Chelsea,Southampton,0.0,0.0,H,83,77,6
2019-01-02,Huddersfield,Burnley,0.0,0.0,A,75,78,-3
2019-01-02,West Ham,Brighton,0.0,0.0,H,78,76,2
2019-01-02,Bournemouth,Watford,0.0,0.0,H,76,77,-1
2019-01-02,Newcastle,Man United,0.0,0.0,A,76,83,-7
2019-01-03,Man City,Liverpool,0.0,0.0,H,85,83,2
2019-01-12,West Ham,Arsenal,0.0,0.0,A,78,82,-4
2019-01-12,Leicester,Southampton,0.0,0.0,H,78,77,1
2019-01-12,Burnley,Fulham,0.0,0.0,H,78,76,2
2019-01-12,Cardiff,Huddersfield,0.0,0.0,H,73,75,-2
2019-01-12,Crystal Palace,Watford,0.0,0.0,H,77,77,0
2019-01-12,Brighton,Liverpool,0.0,0.0,A,76,83,-7
2019-01-12,Chelsea,Newcastle,0.0,0.0,H,83,76,7
2019-01-13,Everton,Bournemouth,0.0,0.0,H,79,76,3
2019-01-13,Tottenham,Man United,0.0,0.0,H,83,83,0
2019-01-14,Man City,Wolves,0.0,0.0,H,85,76,9
2019-01-19,Wolves,Leicester,0.0,0.0,H,76,78,-2
2019-01-19,Liverpool,Crystal Palace,0.0,0.0,H,83,77,6
2019-01-19,Newcastle,Cardiff,0.0,0.0,H,76,73,3
2019-01-19,Man United,Brighton,0.0,0.0,H,83,76,7
2019-01-19,Southampton,Everton,0.0,0.0,D,77,79,-2
2019-01-19,Watford,Burnley,0.0,0.0,H,77,78,-1
2019-01-19,Bournemouth,West Ham,0.0,0.0,H,76,78,-2
2019-01-19,Arsenal,Chelsea,0.0,0.0,H,82,83,-1
2019-01-20,Huddersfield,Man City,0.0,0.0,A,75,85,-10
2019-01-20,Fulham,Tottenham,0.0,0.0,A,76,83,-7
2019-01-29,Wolves,West Ham,0.0,0.0,H,76,78,-2
2019-01-29,Fulham,Brighton,0.0,0.0,H,76,76,0
2019-01-29,Arsenal,Cardiff,0.0,0.0,H,82,73,9
2019-01-29,Huddersfield,Everton,0.0,0.0,A,75,79,-4
2019-01-29,Bournemouth,Chelsea,0.0,0.0,A,76,83,-7
2019-01-29,Man United,Burnley,0.0,0.0,H,83,78,5
2019-01-29,Newcastle,Man City,0.0,0.0,A,76,85,-9
2019-01-30,Southampton,Crystal Palace,0.0,0.0,H,77,77,0
2019-01-30,Liverpool,Leicester,0.0,0.0,H,83,78,5
2019-01-30,Tottenham,Watford,0.0,0.0,H,83,77,6
2019-02-01,Man City,Arsenal,0.0,0.0,H,85,82,3
2019-02-01,Chelsea,Huddersfield,0.0,0.0,H,83,75,8
2019-02-01,Tottenham,Newcastle,0.0,0.0,H,83,76,7
2019-02-01,Everton,Wolves,0.0,0.0,H,79,76,3
2019-02-01,Leicester,Man United,0.0,0.0,A,78,83,-5
2019-02-01,Burnley,Southampton,0.0,0.0,H,78,77,1
2019-02-01,Cardiff,Bournemouth,0.0,0.0,H,73,76,-3
2019-02-01,West Ham,Liverpool,0.0,0.0,A,78,83,-5
2019-02-01,Crystal Palace,Fulham,0.0,0.0,H,77,76,1
2019-02-01,Brighton,Watford,0.0,0.0,H,76,77,-1
2019-02-08,Wolves,Newcastle,0.0,0.0,H,76,76,0
2019-02-08,Fulham,Man United,0.0,0.0,A,76,83,-7
2019-02-08,Liverpool,Bournemouth,0.0,0.0,H,83,76,7
2019-02-08,Man City,Chelsea,0.0,0.0,H,85,83,2
2019-02-08,Tottenham,Leicester,0.0,0.0,H,83,78,5
2019-02-08,Huddersfield,Arsenal,0.0,0.0,A,75,82,-7
2019-02-08,Southampton,Cardiff,0.0,0.0,H,77,73,4
2019-02-08,Crystal Palace,West Ham,0.0,0.0,H,77,78,-1
2019-02-08,Brighton,Burnley,0.0,0.0,H,76,78,-2
2019-02-08,Watford,Everton,0.0,0.0,H,77,79,-2
2019-02-22,Newcastle,Huddersfield,0.0,0.0,H,76,75,1
2019-02-22,Arsenal,Southampton,0.0,0.0,H,82,77,5
